benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
NFS,nfs_bottle,motion_blur_medium,motion_blur,medium,42,0.849616,0.838425,-0.011191,0.853088,0.841764,-0.011324,0.766049,0.720875,-0.045174,26.724237,20.883579,-5.840658,baseline,neutral,near neutral by AUC
NFS,nfs_bottle,low_resolution_medium,low_resolution,medium,42,0.850708,0.838133,-0.012575,0.854160,0.841557,-0.012603,0.768902,0.697575,-0.071327,18.702875,21.111644,+2.408769,baseline,neutral,near neutral by AUC
NFS,nfs_bottle,gaussian_noise_medium,gaussian_noise,medium,42,0.792611,0.804104,+0.011493,0.795137,0.806887,+0.011750,0.685212,0.714218,+0.029006,56.833337,45.324405,-11.508932,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_bird_2,clean,clean,none,0,0.704572,0.705009,+0.000437,0.706619,0.707359,+0.000740,0.815126,0.798319,-0.016807,13.284041,13.112984,-0.171057,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_bird_2,motion_blur_medium,motion_blur,medium,42,0.738664,0.739496,+0.000832,0.740878,0.742033,+0.001155,0.907563,0.911765,+0.004202,9.857837,9.702875,-0.154962,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_bird_2,low_resolution_medium,low_resolution,medium,42,0.713474,0.712434,-0.001040,0.715539,0.714492,-0.001047,0.842437,0.842437,+0.000000,12.222058,12.105743,-0.116315,baseline,neutral,near neutral by AUC
NFS,nfs_bird_2,gaussian_noise_medium,gaussian_noise,medium,42,0.710604,0.711124,+0.000520,0.712795,0.713059,+0.000264,0.880252,0.863445,-0.016807,11.752498,12.119453,+0.366955,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_walking,clean,clean,none,0,0.923165,0.920560,-0.002605,0.927564,0.924802,-0.002762,0.996396,0.996396,+0.000000,4.062831,4.062779,-0.000052,baseline,neutral,near neutral by AUC
NFS,nfs_walking,motion_blur_medium,motion_blur,medium,42,0.923593,0.921095,-0.002498,0.927644,0.925383,-0.002261,1.000000,1.000000,+0.000000,4.157352,4.222859,+0.065507,baseline,neutral,near neutral by AUC
NFS,nfs_walking,low_resolution_medium,low_resolution,medium,42,0.923379,0.921434,-0.001945,0.927651,0.925649,-0.002002,0.998198,1.000000,+0.001802,4.081696,4.011139,-0.070557,baseline,neutral,near neutral by AUC
NFS,nfs_walking,gaussian_noise_medium,gaussian_noise,medium,42,0.923664,0.921524,-0.002140,0.927632,0.925719,-0.001913,1.000000,1.000000,+0.000000,4.181660,4.167717,-0.013943,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_player_2,clean,clean,none,0,0.743911,0.738269,-0.005642,0.745745,0.740223,-0.005522,0.832952,0.832952,+0.000000,21.489235,22.295581,+0.806346,baseline,neutral,near neutral by AUC
