benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
UAV123,uav_car10,low_resolution_medium,0.866897,0.862683,-0.004214,1.000000,1.000000,+0.000000,1.709015,1.762816,+0.053801,OSTrack,RG-SSB near neutral
UAV123,uav_car10,gaussian_noise_medium,0.868384,0.867383,-0.001001,1.000000,1.000000,+0.000000,1.643065,1.710973,+0.067908,OSTrack,RG-SSB near neutral
UAV123,uav_person1,clean,0.855612,0.849540,-0.006072,1.000000,1.000000,+0.000000,2.816489,3.007079,+0.190590,OSTrack,RG-SSB near neutral
UAV123,uav_person1,motion_blur_medium,0.854149,0.853121,-0.001028,1.000000,1.000000,+0.000000,2.830008,3.061380,+0.231372,OSTrack,RG-SSB near neutral
UAV123,uav_person1,low_resolution_medium,0.858226,0.851882,-0.006344,1.000000,1.000000,+0.000000,2.828360,3.087135,+0.258775,OSTrack,RG-SSB near neutral
UAV123,uav_person1,gaussian_noise_medium,0.850878,0.845450,-0.005428,1.000000,1.000000,+0.000000,2.765904,2.902830,+0.136926,OSTrack,RG-SSB near neutral
UAV123,uav_truck1,clean,0.909330,0.904412,-0.004918,0.991361,0.978402,-0.012959,4.979477,5.017188,+0.037711,OSTrack,RG-SSB near neutral
UAV123,uav_truck1,motion_blur_medium,0.877874,0.875607,-0.002267,0.946004,0.946004,+0.000000,7.053147,7.191486,+0.138339,OSTrack,RG-SSB near neutral
UAV123,uav_truck1,low_resolution_medium,0.905181,0.900498,-0.004683,0.987041,0.978402,-0.008639,5.120153,5.096191,-0.023962,OSTrack,RG-SSB near neutral
UAV123,uav_truck1,gaussian_noise_medium,0.895323,0.882129,-0.013194,0.974082,0.961123,-0.012959,5.843008,5.997738,+0.154730,OSTrack,RG-SSB near neutral
UAV123,uav_bike1,clean,0.851681,0.825572,-0.026109,0.997407,0.988655,-0.008752,4.968024,5.739062,+0.771038,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_bike1,motion_blur_medium,0.830919,0.805831,-0.025088,0.965640,0.964019,-0.001621,6.075747,7.144278,+1.068531,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_bike1,low_resolution_medium,0.868633,0.854897,-0.013736,0.996110,0.992220,-0.003890,4.240974,4.671670,+0.430696,OSTrack,RG-SSB near neutral
UAV123,uav_bike1,gaussian_noise_medium,0.873518,0.869105,-0.004413,0.995462,0.996759,+0.001297,3.923043,3.993073,+0.070030,OSTrack,RG-SSB near neutral
UAV123,uav_boat1,clean,0.907177,0.902496,-0.004681,1.000000,1.000000,+0.000000,4.179891,4.141109,-0.038782,OSTrack,RG-SSB near neutral
UAV123,uav_boat1,motion_blur_medium,0.891946,0.899012,+0.007066,1.000000,1.000000,+0.000000,3.637164,3.892462,+0.255298,RG-SSB,RG-SSB near neutral
UAV123,uav_boat1,low_resolution_medium,0.907342,0.903660,-0.003682,1.000000,1.000000,+0.000000,4.106702,4.163168,+0.056466,OSTrack,RG-SSB near neutral
UAV123,uav_boat1,gaussian_noise_medium,0.901298,0.899902,-0.001396,1.000000,1.000000,+0.000000,4.314402,4.164065,-0.150337,OSTrack,RG-SSB near neutral
UAV123,uav_building1,clean,0.856573,0.852857,-0.003716,1.000000,1.000000,+0.000000,1.579833,1.612973,+0.033140,OSTrack,RG-SSB near neutral
UAV123,uav_building1,motion_blur_medium,0.866347,0.864954,-0.001393,1.000000,1.000000,+0.000000,1.662908,1.660322,-0.002586,OSTrack,RG-SSB near neutral
UAV123,uav_building1,low_resolution_medium,0.861661,0.855961,-0.005700,1.000000,1.000000,+0.000000,1.578279,1.635272,+0.056993,OSTrack,RG-SSB near neutral
UAV123,uav_building1,gaussian_noise_medium,0.840149,0.838650,-0.001499,1.000000,1.000000,+0.000000,2.126383,2.122127,-0.004256,OSTrack,RG-SSB near neutral
UAV123,uav_person3,clean,0.859261,0.850084,-0.009177,1.000000,1.000000,+0.000000,2.070879,2.184885,+0.114006,OSTrack,RG-SSB near neutral
UAV123,uav_person3,motion_blur_medium,0.827018,0.844109,+0.017091,1.000000,1.000000,+0.000000,2.245145,2.361317,+0.116172,RG-SSB,RG-SSB near neutral
UAV123,uav_person3,low_resolution_medium,0.862664,0.854257,-0.008407,1.000000,1.000000,+0.000000,2.059074,2.171682,+0.112608,OSTrack,RG-SSB near neutral
UAV123,uav_person3,gaussian_noise_medium,0.856859,0.843324,-0.013535,1.000000,1.000000,+0.000000,2.087122,2.253938,+0.166816,OSTrack,RG-SSB near neutral
UAV123,uav_car11,clean,0.483503,0.488410,+0.004907,0.792285,0.818991,+0.026706,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_car11,motion_blur_medium,0.027000,0.030673,+0.003673,0.032641,0.044510,+0.011869,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_car11,low_resolution_medium,0.361078,0.110497,-0.250581,0.727003,0.210682,-0.516321,nan,nan,nan,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_car11,gaussian_noise_medium,0.125657,0.336634,+0.210977,0.243323,0.706231,+0.462908,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_car12,clean,0.453501,0.107839,-0.345662,0.569138,0.152305,-0.416833,nan,nan,nan,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_car12,motion_blur_medium,0.302347,0.053692,-0.248655,0.494990,0.138277,-0.356713,nan,nan,nan,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_car12,low_resolution_medium,0.353420,0.104744,-0.248676,0.478958,0.126253,-0.352705,nan,nan,nan,OSTrack,OSTrack baseline higher by AUC
UAV123,uav_car12,gaussian_noise_medium,0.081966,0.412627,+0.330661,0.092184,0.579158,+0.486974,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_car13,clean,0.658356,0.650435,-0.007921,1.000000,1.000000,+0.000000,1.775364,1.924783,+0.149419,OSTrack,RG-SSB near neutral
UAV123,uav_car13,motion_blur_medium,0.469832,0.482834,+0.013002,0.985542,0.978313,-0.007229,3.390872,3.803226,+0.412354,RG-SSB,RG-SSB near neutral
UAV123,uav_car13,low_resolution_medium,0.659788,0.648217,-0.011571,1.000000,1.000000,+0.000000,2.073955,2.175925,+0.101970,OSTrack,RG-SSB near neutral
UAV123,uav_car13,gaussian_noise_medium,0.644423,0.644757,+0.000334,1.000000,1.000000,+0.000000,1.961418,1.882607,-0.078811,RG-SSB,RG-SSB near neutral
UAV123,uav_person10,clean,0.727010,0.728300,+0.001290,0.833497,0.834476,+0.000979,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_person10,motion_blur_medium,0.693758,0.705026,+0.011268,0.827620,0.830558,+0.002938,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_person10,low_resolution_medium,0.722986,0.725846,+0.002860,0.832517,0.832517,+0.000000,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_person10,gaussian_noise_medium,0.720270,0.719465,-0.000805,0.828599,0.831538,+0.002939,nan,nan,nan,OSTrack,RG-SSB near neutral
UAV123,uav_person12_1,clean,0.769905,0.765951,-0.003954,1.000000,1.000000,+0.000000,4.720325,4.757898,+0.037573,OSTrack,RG-SSB near neutral
UAV123,uav_person12_1,motion_blur_medium,0.758801,0.752030,-0.006771,0.976705,0.995008,+0.018303,5.640293,5.879601,+0.239308,OSTrack,RG-SSB near neutral
UAV123,uav_person12_1,low_resolution_medium,0.773348,0.768159,-0.005189,1.000000,0.998336,-0.001664,4.866332,5.001237,+0.134905,OSTrack,RG-SSB near neutral
UAV123,uav_person12_1,gaussian_noise_medium,0.776083,0.771635,-0.004448,0.998336,0.998336,+0.000000,4.731723,4.806106,+0.074383,OSTrack,RG-SSB near neutral
UAV123,uav_person14_1,clean,0.164635,0.743030,+0.578395,0.219599,0.949233,+0.729634,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_person14_1,motion_blur_medium,0.398915,0.686266,+0.287351,0.545455,0.944510,+0.399055,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_person14_1,low_resolution_medium,0.172057,0.737185,+0.565128,0.224321,0.945691,+0.721370,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_person14_1,gaussian_noise_medium,0.434451,0.455177,+0.020726,0.547816,0.583235,+0.035419,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_truck2,clean,0.812267,0.798637,-0.013630,1.000000,1.000000,+0.000000,2.152421,2.359475,+0.207054,OSTrack,RG-SSB near neutral
UAV123,uav_truck2,motion_blur_medium,0.277459,0.656989,+0.379530,0.441558,0.979221,+0.537663,160.779648,4.231960,-156.547688,RG-SSB,RG-SSB improves AUC
UAV123,uav_truck2,low_resolution_medium,0.795217,0.776443,-0.018774,1.000000,1.000000,+0.000000,2.419891,2.649994,+0.230103,OSTrack,RG-SSB near neutral
UAV123,uav_truck2,gaussian_noise_medium,0.777215,0.759007,-0.018208,1.000000,1.000000,+0.000000,2.585998,2.717353,+0.131355,OSTrack,RG-SSB near neutral
UAV123,uav_bike2,clean,0.109681,0.111525,+0.001844,0.198915,0.198915,+0.000000,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_bike2,motion_blur_medium,0.044725,0.074177,+0.029452,0.103074,0.180832,+0.077758,nan,nan,nan,RG-SSB,RG-SSB improves AUC
UAV123,uav_bike2,low_resolution_medium,0.102680,0.102125,-0.000555,0.197107,0.200723,+0.003616,nan,nan,nan,OSTrack,RG-SSB near neutral
UAV123,uav_bike2,gaussian_noise_medium,0.077185,0.090989,+0.013804,0.220615,0.220615,+0.000000,nan,nan,nan,RG-SSB,RG-SSB near neutral
UAV123,uav_wakeboard1,clean,0.829120,0.812845,-0.016275,1.000000,1.000000,+0.000000,4.294295,4.577796,+0.283501,OSTrack,RG-SSB near neutral
UAV123,uav_wakeboard1,motion_blur_medium,0.735190,0.773735,+0.038545,0.900238,1.000000,+0.099762,9.813875,5.390363,-4.423512,RG-SSB,RG-SSB improves AUC
UAV123,uav_wakeboard1,low_resolution_medium,0.835023,0.816749,-0.018274,1.000000,1.000000,+0.000000,4.195702,4.436891,+0.241189,OSTrack,RG-SSB near neutral
UAV123,uav_wakeboard1,gaussian_noise_medium,0.824275,0.809694,-0.014581,1.000000,1.000000,+0.000000,4.396752,4.646383,+0.249631,OSTrack,RG-SSB near neutral
NFS,nfs_Gymnastics,clean,0.311558,0.334912,+0.023354,0.002717,0.002717,+0.000000,219.966156,232.755920,+12.789764,RG-SSB,RG-SSB improves AUC
NFS,nfs_Gymnastics,motion_blur_medium,0.313038,0.333244,+0.020206,0.002717,0.002717,+0.000000,216.565979,230.888397,+14.322418,RG-SSB,RG-SSB improves AUC
NFS,nfs_Gymnastics,low_resolution_medium,0.311558,0.334992,+0.023434,0.002717,0.002717,+0.000000,219.442444,233.018723,+13.576279,RG-SSB,RG-SSB improves AUC
NFS,nfs_Gymnastics,gaussian_noise_medium,0.299801,0.320652,+0.020851,0.002717,0.002717,+0.000000,222.369415,232.899323,+10.529908,RG-SSB,RG-SSB improves AUC
NFS,nfs_basketball_player,clean,0.338378,0.338163,-0.000215,0.005420,0.013550,+0.008130,198.464813,204.770325,+6.305512,OSTrack,RG-SSB near neutral
NFS,nfs_basketball_player,motion_blur_medium,0.331777,0.328289,-0.003488,0.008130,0.008130,+0.000000,197.768890,212.031540,+14.262650,OSTrack,RG-SSB near neutral
NFS,nfs_basketball_player,low_resolution_medium,0.339424,0.327645,-0.011779,0.005420,0.008130,+0.002710,195.825607,213.936234,+18.110627,OSTrack,RG-SSB near neutral
NFS,nfs_basketball_player,gaussian_noise_medium,0.383482,0.388553,+0.005071,0.016260,0.016260,+0.000000,192.111053,193.388809,+1.277756,RG-SSB,RG-SSB near neutral
NFS,nfs_car,clean,0.091658,0.157460,+0.065802,0.000495,0.000495,+0.000000,383.523499,270.597534,-112.925965,RG-SSB,RG-SSB improves AUC
NFS,nfs_car,motion_blur_medium,0.079914,0.136663,+0.056749,0.000495,0.000495,+0.000000,388.015961,248.593597,-139.422364,RG-SSB,RG-SSB improves AUC
NFS,nfs_car,low_resolution_medium,0.091089,0.146505,+0.055416,0.000495,0.000495,+0.000000,381.417053,298.065063,-83.351990,RG-SSB,RG-SSB improves AUC
NFS,nfs_car,gaussian_noise_medium,0.073895,0.125498,+0.051603,0.000495,0.000495,+0.000000,689.688232,341.962555,-347.725677,RG-SSB,RG-SSB improves AUC
NFS,nfs_dog,clean,0.419264,0.414563,-0.004701,0.005825,0.006796,+0.000971,159.943039,172.733597,+12.790558,OSTrack,RG-SSB near neutral
NFS,nfs_dog,motion_blur_medium,0.432145,0.417860,-0.014285,0.008738,0.004854,-0.003884,156.070663,177.837021,+21.766358,OSTrack,RG-SSB near neutral
NFS,nfs_dog,low_resolution_medium,0.419168,0.414390,-0.004778,0.008738,0.003883,-0.004855,163.471161,174.622116,+11.150955,OSTrack,RG-SSB near neutral
NFS,nfs_dog,gaussian_noise_medium,0.429828,0.428280,-0.001548,0.003883,0.003883,+0.000000,176.879272,176.780151,-0.099121,OSTrack,RG-SSB near neutral
NFS,nfs_running,clean,0.483116,0.480878,-0.002238,0.032496,0.031019,-0.001477,129.966736,151.382156,+21.415420,OSTrack,RG-SSB near neutral
NFS,nfs_running,motion_blur_medium,0.484681,0.474253,-0.010428,0.035451,0.032496,-0.002955,130.218918,167.277054,+37.058136,OSTrack,RG-SSB near neutral
NFS,nfs_running,low_resolution_medium,0.482589,0.471372,-0.011217,0.033973,0.035451,+0.001478,130.824417,160.233078,+29.408661,OSTrack,RG-SSB near neutral
NFS,nfs_running,gaussian_noise_medium,0.487664,0.512278,+0.024614,0.023634,0.016248,-0.007386,118.610733,114.678093,-3.932640,RG-SSB,RG-SSB improves AUC
NFS,nfs_bottle,clean,0.368912,0.340264,-0.028648,0.023300,0.023300,+0.000000,217.255005,245.648010,+28.393005,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_bottle,motion_blur_medium,0.367636,0.337726,-0.029910,0.023300,0.024727,+0.001427,219.075607,249.704178,+30.628571,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_bottle,low_resolution_medium,0.368149,0.338526,-0.029623,0.020922,0.023776,+0.002854,218.312500,248.432098,+30.119598,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_bottle,gaussian_noise_medium,0.390541,0.368973,-0.021568,0.016643,0.018069,+0.001426,208.387665,234.473770,+26.086105,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_bird_2,clean,0.252434,0.259360,+0.006926,0.006303,0.010504,+0.004201,272.614838,233.346542,-39.268296,RG-SSB,RG-SSB near neutral
NFS,nfs_bird_2,motion_blur_medium,0.253682,0.272964,+0.019282,0.010504,0.010504,+0.000000,267.806854,244.585724,-23.221130,RG-SSB,RG-SSB near neutral
NFS,nfs_bird_2,low_resolution_medium,0.250957,0.272007,+0.021050,0.006303,0.012605,+0.006302,269.925629,235.609833,-34.315796,RG-SSB,RG-SSB improves AUC
NFS,nfs_bird_2,gaussian_noise_medium,0.276521,0.260275,-0.016246,0.012605,0.010504,-0.002101,223.684799,215.257858,-8.426941,OSTrack,RG-SSB near neutral
NFS,nfs_walking,clean,0.222442,0.367193,+0.144751,0.030631,0.041441,+0.010810,223.869156,169.591141,-54.278015,RG-SSB,RG-SSB improves AUC
NFS,nfs_walking,motion_blur_medium,0.404799,0.239247,-0.165552,0.037838,0.023423,-0.014415,151.543518,199.849487,+48.305969,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_walking,low_resolution_medium,0.222977,0.239408,+0.016431,0.023423,0.028829,+0.005406,223.581696,200.176178,-23.405518,RG-SSB,RG-SSB near neutral
